PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10232,1/14/2005,247,1.51%,0.0522,0.0041,3.46%,3.47%,0.18%,1.47%
10232,1/21/2005,248,0.24%,0.0523,0.0041,3.46%,3.46%,0.18%,0.28%
10232,1/28/2005,249,-3.25%,0.0518,0.0039,3.46%,3.46%,0.18%,-3.30%
10238,1/7/2005,246,1.96%,0.67,0.0006,4.95%,5.30%,12.97%,3.70%
10238,1/14/2005,247,2.18%,0.6701,0.0007,4.94%,5.29%,12.97%,2.14%
10238,1/21/2005,248,-0.94%,0.6702,0.0006,4.93%,5.28%,12.98%,-0.08%
10238,1/28/2005,249,0.70%,0.6702,0.0007,4.92%,5.27%,12.98%,0.49%
10239,1/7/2005,246,-6.31%,0.6265,0.004,4.94%,5.25%,11.57%,-4.71%
10239,1/14/2005,247,7.49%,0.6267,0.0043,4.95%,5.26%,11.49%,7.45%
10239,1/21/2005,248,-5.52%,0.63,0.0041,4.95%,5.26%,11.56%,-4.72%
10239,1/28/2005,249,3.22%,0.6304,0.0042,4.94%,5.25%,11.56%,3.02%
10252,1/7/2005,246,-7.17%,0.5557,0.006,4.75%,5.01%,9.99%,-5.77%
10252,1/14/2005,247,-1.53%,0.5556,0.0059,4.74%,5.00%,9.98%,-1.57%
10252,1/21/2005,248,-4.67%,0.5586,0.0058,4.74%,5.00%,10.05%,-3.96%
10252,1/28/2005,249,-0.54%,0.5584,0.0057,4.73%,4.99%,10.05%,-0.72%
10257,1/7/2005,246,-6.98%,0.8128,-0.0009,8.81%,9.11%,6.47%,-4.89%
10257,1/14/2005,247,-1.54%,0.8128,-0.001,8.79%,9.09%,6.47%,-1.58%
10257,1/21/2005,248,-5.41%,0.8155,-0.0012,8.78%,9.08%,6.51%,-4.35%
10257,1/28/2005,249,0.00%,0.8155,-0.0012,8.76%,9.06%,6.51%,-0.24%
10258,1/7/2005,246,3.48%,2.1381,0.003,12.29%,13.72%,19.72%,9.12%
10258,1/14/2005,247,-1.92%,2.138,0.0029,12.27%,13.69%,19.71%,-1.97%
10258,1/21/2005,248,-5.39%,2.1399,0.0028,12.25%,13.67%,19.75%,-2.57%
10258,1/28/2005,249,-8.81%,2.1385,0.0024,12.24%,13.66%,19.69%,-9.38%
10259,1/7/2005,246,-8.86%,1.5801,0.0094,13.98%,14.68%,9.40%,-4.75%
10259,1/14/2005,247,-0.22%,1.58,0.0094,13.95%,14.66%,9.40%,-0.26%
10259,1/21/2005,248,-4.54%,1.5822,0.0093,13.92%,14.63%,9.43%,-2.46%
10259,1/28/2005,249,3.02%,1.5825,0.0093,13.89%,14.60%,9.43%,2.59%
10271,1/7/2005,246,-0.21%,0.2846,0.0036,3.05%,3.16%,6.60%,0.50%
10271,1/14/2005,247,-1.15%,0.2846,0.0036,3.05%,3.15%,6.59%,-1.19%
10271,1/21/2005,248,0.05%,0.2846,0.0036,3.04%,3.15%,6.60%,0.40%
10271,1/28/2005,249,1.06%,0.2847,0.0036,3.03%,3.14%,6.60%,0.95%
10272,1/7/2005,246,-5.09%,2.1381,0.0031,8.78%,10.69%,32.50%,0.52%
10272,1/14/2005,247,2.99%,2.1382,0.0032,8.76%,10.67%,32.49%,2.95%
10272,1/21/2005,248,-6.21%,2.1406,0.0031,8.75%,10.65%,32.55%,-3.38%
10272,1/28/2005,249,-4.27%,2.1398,0.0028,8.74%,10.64%,32.50%,-4.84%
10290,1/7/2005,246,-5.11%,0.7371,0.004,4.77%,5.21%,16.23%,-3.22%
10290,1/14/2005,247,-0.97%,0.737,0.004,4.76%,5.20%,16.22%,-1.01%
10290,1/21/2005,248,-1.87%,0.7379,0.0039,4.75%,5.20%,16.26%,-0.92%
10290,1/28/2005,249,-5.63%,0.737,0.0037,4.76%,5.20%,16.13%,-5.86%
10294,1/7/2005,246,-1.29%,0.3987,0.0039,5.57%,5.68%,4.00%,-0.28%
